Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,1.323995,1.328092,1.234230,1.237471,1.237471,0
2012-06-01,1.236094,1.274795,1.229701,1.266496,1.266496,0
2012-07-01,1.266496,1.268102,1.205545,1.225941,1.225941,0
2012-08-01,1.229407,1.262901,1.213800,1.251095,1.251095,0
2012-09-01,1.258194,1.316810,1.250469,1.284505,1.284505,0
2012-10-01,1.280672,1.313781,1.280672,1.296260,1.296260,0
2012-11-01,1.296512,1.302860,1.266657,1.297353,1.297353,0
2012-12-01,1.298701,1.330690,1.288240,1.322769,1.322769,0
2013-01-01,1.320132,1.359000,1.300052,1.356834,1.356834,0
2013-02-01,1.361100,1.369300,1.302000,1.315097,1.315097,0
2013-03-01,1.306165,1.313431,1.275631,1.280787,1.280787,0
2013-04-01,1.280557,1.319710,1.274980,1.309586,1.309586,0
2013-05-01,1.316898,1.324152,1.280000,1.304393,1.304393,0
2013-06-01,1.299900,1.341340,1.295706,1.301304,1.301304,0
2013-07-01,1.301389,1.330021,1.276300,1.326489,1.326489,0
2013-08-01,1.330106,1.345021,1.317921,1.322401,1.322401,0
2013-09-01,1.322401,1.356999,1.310619,1.349546,1.349546,0
2013-10-01,1.352503,1.383000,1.347560,1.372401,1.372401,0
2013-11-01,1.357976,1.362212,1.330580,1.359398,1.359398,0
2013-12-01,1.359398,1.388351,1.352558,1.381006,1.381006,0
2014-01-01,1.374495,1.377904,1.348109,1.355877,1.355877,0
2014-02-01,1.348981,1.382340,1.347931,1.370746,1.370746,0
2014-03-01,1.380396,1.396541,1.370851,1.375213,1.375213,0
2014-04-01,1.377505,1.390608,1.367630,1.381368,1.381368,0
2014-05-01,1.386866,1.399110,1.358880,1.363457,1.363457,0
2014-06-01,1.363457,1.369700,1.350680,1.364443,1.364443,0
2014-07-01,1.369188,1.369807,1.336881,1.339603,1.339603,0
2014-08-01,1.338993,1.344599,1.312836,1.313456,1.313456,0
2014-09-01,1.312767,1.316099,1.257390,1.269084,1.269084,0
2014-10-01,1.262913,1.284439,1.249126,1.261336,1.261336,0
2014-11-01,1.252725,1.257593,1.236201,1.243797,1.243797,0
2014-12-01,1.243797,1.256570,1.210539,1.216205,1.216205,0
2015-01-01,1.209863,1.209863,1.110556,1.128796,1.128796,0
2015-02-01,1.128796,1.148419,1.117681,1.119796,1.119796,0
2015-03-01,1.119796,1.124040,1.046003,1.083025,1.083025,0
2015-04-01,1.074102,1.124759,1.052160,1.111432,1.111432,0
2015-05-01,1.121504,1.145305,1.082200,1.096035,1.096035,0
2015-06-01,1.095902,1.142840,1.088890,1.122297,1.122297,0
2015-07-01,1.113499,1.122000,1.081270,1.093924,1.093924,0
2015-08-01,1.096900,1.170600,1.085031,1.121403,1.121403,0
2015-09-01,1.122599,1.146000,1.108970,1.125594,1.125594,0
2015-10-01,1.117156,1.149420,1.091000,1.100897,1.100897,0
2015-11-01,1.102499,1.106000,1.056400,1.058302,1.058302,0
2015-12-01,1.057295,1.107000,1.054200,1.093398,1.093398,0
2016-01-01,1.085906,1.098200,1.071201,1.082591,1.082591,0
2016-02-01,1.082626,1.136800,1.082626,1.092395,1.092395,0
2016-03-01,1.088696,1.141000,1.082600,1.133466,1.133466,0
2016-04-01,1.137902,1.146400,1.121994,1.144833,1.144833,0
2016-05-01,1.144833,1.161400,1.110001,1.114840,1.114840,0
2016-06-01,1.113598,1.142204,1.091906,1.112805,1.112805,0
2016-07-01,1.110371,1.119600,1.095362,1.116807,1.116807,0
2016-08-01,1.116782,1.135718,1.104911,1.115324,1.115324,0
2016-09-01,1.115822,1.132999,1.112599,1.121957,1.121957,0
2016-10-01,1.124341,1.125000,1.085340,1.098467,1.098467,0
2016-11-01,1.097333,1.130199,1.052255,1.064849,1.064849,0
2016-12-01,1.059210,1.085658,1.035518,1.052000,1.052000,0
2017-01-01,1.052000,1.081034,1.034768,1.070859,1.070859,0
2017-02-01,1.080264,1.082661,1.049681,1.058425,1.058425,0
2017-03-01,1.056926,1.090489,1.050045,1.068707,1.068707,0
2017-04-01,1.065655,1.095074,1.057038,1.090750,1.090750,0
2017-05-01,1.090608,1.126672,1.083999,1.117169,1.117169,0
2017-06-01,1.123823,1.144500,1.112087,1.144165,1.144165,0
2017-07-01,1.142570,1.182466,1.131503,1.174729,1.174729,0
2017-08-01,1.182355,1.206695,1.166698,1.189343,1.189343,0
2017-09-01,1.191086,1.209336,1.171921,1.174164,1.174164,0
2017-10-01,1.174164,1.188072,1.157595,1.165270,1.165270,0
2017-11-01,1.165162,1.196043,1.155588,1.185199,1.185199,0
2017-12-01,1.189910,1.202284,1.171893,1.200005,1.200005,0
2018-01-01,1.200495,1.252992,1.191796,1.240957,1.240957,0
2018-02-01,1.241742,1.255808,1.218918,1.223032,1.223032,0
2018-03-01,1.219096,1.247816,1.215800,1.233198,1.233198,0
2018-04-01,1.233198,1.241500,1.205604,1.212283,1.212283,0
2018-05-01,1.208313,1.208459,1.151437,1.166725,1.166725,0
2018-06-01,1.169331,1.184161,1.151410,1.170494,1.170494,0
2018-07-01,1.170494,1.179078,1.157595,1.170741,1.170741,0
2018-08-01,1.168962,1.173300,1.130224,1.166466,1.166466,0
2018-09-01,1.162304,1.181502,1.152764,1.162304,1.162304,0
2018-10-01,1.160497,1.162129,1.131171,1.134636,1.134636,0
2018-11-01,1.131388,1.149994,1.122322,1.139277,1.139277,0
2018-12-01,1.131900,1.148488,1.127078,1.143995,1.143995,0
2019-01-01,1.149425,1.157140,1.130582,1.148765,1.148765,0
2019-02-01,1.145082,1.148844,1.123495,1.138019,1.138019,0
2019-03-01,1.137255,1.143995,1.118606,1.123305,1.123305,0
2019-04-01,1.122347,1.132503,1.112174,1.118518,1.118518,0
2019-05-01,1.121831,1.126342,1.110951,1.113115,1.113115,0
2019-06-01,1.119996,1.141396,1.116221,1.139095,1.139095,0
2019-07-01,1.136364,1.136751,1.110383,1.115797,1.115797,0
2019-08-01,1.107224,1.131299,1.098720,1.101200,1.101200,0
2019-09-01,1.101200,1.115822,1.088767,1.094271,1.094271,0
2019-10-01,1.089918,1.118068,1.088151,1.115449,1.115449,0
2019-11-01,1.115611,1.119445,1.098286,1.102000,1.102000,0
2019-12-01,1.101910,1.124101,1.100376,1.120230,1.120230,0
2020-01-01,1.122083,1.122838,1.099324,1.102913,1.102913,0
2020-02-01,1.109609,1.109609,1.077958,1.103000,1.103000,0
2020-03-01,1.102809,1.149584,1.065451,1.103047,1.103047,0
2020-04-01,1.102816,1.103753,1.072766,1.087725,1.087725,0
2020-05-01,1.094475,1.114467,1.076751,1.111000,1.111000,0
2020-06-01,1.111457,1.140017,1.110149,1.124720,1.124720,0
2020-07-01,1.123368,1.190799,1.118919,1.187225,1.187225,0
2020-08-01,1.178001,1.196516,1.170138,1.191824,1.191824,0
2020-09-01,1.193916,1.201129,1.161346,1.174205,1.174205,0
2020-10-01,1.172374,1.188213,1.164307,1.167679,1.167679,0
2020-11-01,1.167900,1.200206,1.160766,1.197146,1.197146,0
2020-12-01,1.193773,1.230951,1.193599,1.229990,1.229990,0
2021-01-01,1.217285,1.235025,1.205545,1.213900,1.213900,0
2021-02-01,1.212283,1.224155,1.195357,1.207361,1.207361,0
2021-03-01,1.209090,1.211050,1.170453,1.172360,1.172360,0
2021-04-01,1.172897,1.215214,1.171481,1.212709,1.212709,0
2021-05-01,1.202099,1.226700,1.198725,1.219007,1.219007,0
2021-06-01,1.223406,1.225415,1.184582,1.190193,1.190193,0
2021-07-01,1.185536,1.191100,1.175364,1.186780,1.186780,0
2021-08-01,1.186760,1.190200,1.166494,1.179690,1.179690,0
2021-09-01,1.181195,1.190760,1.157006,1.160160,1.160160,0
2021-10-01,1.157421,1.169317,1.153017,1.156136,1.156136,0
2021-11-01,1.155936,1.161710,1.118781,1.129344,1.129344,0
2021-12-01,1.133003,1.137915,1.123129,1.132503,1.132503,0
2022-01-01,1.137527,1.148369,1.112335,1.115237,1.115237,0
2022-02-01,1.122914,1.149425,1.111049,1.118105,1.118105,0
2022-03-01,1.121466,1.123217,1.080859,1.116184,1.116184,0
2022-04-01,1.107236,1.107542,1.075859,1.083518,1.083518,0
